nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,duration,i_open,considerations,applications,score_0,score_1,score_2,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2,likelihood_quadrature,likelihood_ghk,likelihood_ghk_pseudo,likelihood_accept_reject,likelihood_accept_reject_pseudo
202534,1905.339552238806,0.48,2013,0.29,3.339999996125698,0.63,0.25,2,2,4.0,0.0,1.0,1.0,6.79,6.58,7.12,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,3.63,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.13694878835446697,0.14236200042720498,0.14727065554604932,0.15,0.1
201164,1706.6544117647056,0.53,2013,0.74,3.5099999979138374,1.08,0.5,2,2,4.0,1.0,1.0,1.0,6.71,6.65,6.66,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,4.25,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1535616879934435,0.15421943326491844,0.1592834528637383,0.17,0.1
203547,1437.5872747747746,0.54,2013,0.81,3.3199999928474426,0.75,0.25,2,2,4.0,0.0,1.0,1.0,7.43,6.42,6.78,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,4.13,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1491306935299539,0.14783384899259233,0.15275411440529874,0.17,0.12
202955,1028.7492580645162,0.71,2013,-0.03,3.5299999937415123,0.36,0.25,2,2,4.0,0.0,1.0,1.0,8.06,8.03,8.21,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.10182438887771392,0.10378966313605639,0.10718103588856193,0.1,0.06
201108,1437.5872747747746,0.54,2013,0.72,3.4099999964237213,0.83,0.5,2,2,4.0,1.0,2.0,2.0,6.94,6.99,6.65,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,4.13,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.15393395398812734,0.15095631096113235,0.1557813329424425,0.16,0.1
201678,1028.7492580645162,0.78,2013,1.5,3.399999998509884,0.9,0.25,2,2,3.0,0.0,1.0,1.0,7.81,7.03,7.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4.9,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.099508421633071,0.10285429938948494,0.10131957623484059,0.11,0.12
201860,1028.7492580645162,0.45,2013,-0.05,3.9299999997019768,0.75,0.25,2,2,4.0,0.0,2.0,1.0,7.57,7.52,7.26,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,3.88,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.13209698037339238,0.12984663158569032,0.13402988696874596,0.14,0.08
204264,1028.7492580645162,0.61,2013,0.03,3.3499999940395355,0.96,0.25,2,2,4.0,0.0,3.0,1.0,7.12,6.66,7.17,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3.3799999,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.13520482600472336,0.1388657313996961,0.14363612374129583,0.14,0.1
204540,1437.5872747747746,0.45,2013,-0.01,4.509999990463257,0.68,0.25,1,2,4.0,1.0,2.0,1.0,8.07,8.15,7.76,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,4.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11557888995202319,0.11289157961093055,0.1164309018495445,0.11,0.06
200450,1706.6544117647056,0.42,2013,0.35,4.399999991059303,0.8,0.25,2,2,4.0,0.0,2.0,1.0,7.21,6.45,6.49,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,4.75,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.15995272673408054,0.15632091266078368,0.16136220320201125,0.17,0.12
